epoch,train_mse,train_rmse,val_mse,val_rmse
0,0.8805155754089355,0.9383579143423556,0.9029667377471924,0.9502456196937676
1,0.8488079309463501,0.9213077286913153,0.8618894219398499,0.9283799986750306
2,0.8246407508850098,0.9080973245665961,0.846732497215271,0.9201806872648822
3,0.7992158532142639,0.8939887321517335,0.8305239677429199,0.9113308772026326
4,0.7726114988327026,0.8789832187435108,0.797530472278595,0.8930456160121917
5,0.7482083439826965,0.8649903721907525,0.7751397490501404,0.8804202116320027
6,0.7251390814781189,0.8515509858359152,0.7487666606903076,0.8653130420202318
7,0.7046093940734863,0.8394101465156866,0.7232966423034668,0.8504684840154083
8,0.6833422780036926,0.8266451947502584,0.6997249126434326,0.8364956142404051
9,0.665785551071167,0.8159568316223396,0.6842436194419861,0.8271901954459966
10,0.6447356343269348,0.8029543164632312,0.6676570177078247,0.8171028195446548
11,0.6285187602043152,0.7927917508427513,0.6435768008232117,0.8022323857980378
12,0.6105976104736328,0.7814074548362288,0.6267287731170654,0.7916620321305459
13,0.5966836810112,0.7724530283526629,0.6170118451118469,0.7855010153474322
14,0.5806899666786194,0.7620301612656939,0.597402811050415,0.7729183728249802
15,0.5674059987068176,0.7532635652325271,0.5786617994308472,0.760698231515525
16,0.5528966188430786,0.7435701842079728,0.5669246315956116,0.752943976399049
17,0.5409899950027466,0.7355202206620471,0.5537024140357971,0.7441118289852656
18,0.5286697149276733,0.7270967713638078,0.5424955487251282,0.7365429714043358
19,0.5173238515853882,0.7192522864651791,0.5320339798927307,0.7294065943578593
20,0.5038098096847534,0.7097956112042068,0.5111240148544312,0.7149293775292992
21,0.4941749572753906,0.702975787118867,0.5076211094856262,0.7124753395631502
22,0.4827050566673279,0.6947697868123857,0.4935195744037628,0.7025094834973851
23,0.47406119108200073,0.6885210171679589,0.4854576885700226,0.6967479376144737
24,0.4626951515674591,0.6802169885907431,0.4699534475803375,0.6855315073578584
25,0.4542767405509949,0.6740005493699504,0.4663662910461426,0.6829101632324288
26,0.4454878866672516,0.6674487895466225,0.4504048824310303,0.6711221069455471
27,0.43588683009147644,0.6602172597649023,0.44015634059906006,0.663442793765265
28,0.4283062815666199,0.654451130006374,0.4357069730758667,0.6600810352342102
29,0.41997289657592773,0.6480531587577734,0.4303828477859497,0.6560357061821785
30,0.41061142086982727,0.6407896853647281,0.42364126443862915,0.6508773036745321
31,0.4035645127296448,0.6352672766085506,0.4082704186439514,0.6389604202483526
32,0.3961028754711151,0.6293670435215964,0.4018721282482147,0.6339338516345493
33,0.3887344002723694,0.6234856856996553,0.39064130187034607,0.6250130413602152
34,0.3835420310497284,0.6193077030440751,0.38716816902160645,0.622228389758621
35,0.3740251660346985,0.6115759691442254,0.37653350830078125,0.6136232625160012
36,0.3690153956413269,0.6074663740828186,0.3690076172351837,0.6074599717143375
37,0.3615027070045471,0.6012509517701798,0.3631327748298645,0.6026049907110499
38,0.35502344369888306,0.5958384375809294,0.35660701990127563,0.5971658227839866
39,0.3488083779811859,0.5906000152228121,0.3537319302558899,0.5947536719145918
40,0.3424796760082245,0.58521763132037,0.3404257893562317,0.5834601866076482
41,0.3378608822822571,0.5812580169617079,0.34005042910575867,0.5831384304826416
42,0.33231884241104126,0.5764710247801196,0.3339911103248596,0.5779196400234722
43,0.32635462284088135,0.5712745599454621,0.3301745057106018,0.5746081323046184
44,0.3225570321083069,0.5679410463316654,0.32711395621299744,0.5719387696362238
45,0.31671562790870667,0.5627749353948759,0.3192119300365448,0.5649884335422671
46,0.31277596950531006,0.5592637745333682,0.3142535984516144,0.5605832662964659
47,0.3074207305908203,0.5544553458943473,0.30871912837028503,0.5556249889721349
48,0.3033783435821533,0.5507979153756424,0.30283552408218384,0.5503049373594461
49,0.2976521849632263,0.5455750956222492,0.2997855842113495,0.5475267885787412
50,0.29489079117774963,0.5430384803839868,0.30165573954582214,0.5492319542286502
51,0.2904576063156128,0.5389411900343235,0.286650687456131,0.5353976909327598
52,0.286304771900177,0.535074547983902,0.283586323261261,0.532528237055333
53,0.28349241614341736,0.5324400587328281,0.2800847291946411,0.5292303177205943
54,0.27899470925331116,0.5281994975890371,0.27626869082450867,0.5256126813771798
55,0.2749236524105072,0.5243316244615684,0.2708341181278229,0.5204172538721433
56,0.2721656262874603,0.5216949552060671,0.27317678928375244,0.5226631700089002
57,0.2683808505535126,0.5180548721453284,0.26474177837371826,0.5145306389066819
58,0.26497533917427063,0.5147575537806809,0.2645179033279419,0.5143130402079475
59,0.2618122398853302,0.5116759129422942,0.2573786675930023,0.5073250117952025
60,0.2588322162628174,0.5087555564933098,0.2572973370552063,0.5072448492150574
61,0.2555161416530609,0.505486044963717,0.25485119223594666,0.5048278837742094
62,0.2523835599422455,0.5023779055076422,0.24913014471530914,0.4991293867478744
63,0.25052309036254883,0.5005228170249073,0.24485273659229279,0.494825965964088
64,0.24747104942798615,0.49746462128274627,0.2445134073495865,0.4944829697265483
65,0.2434423416852951,0.4933987653868776,0.24374128878116608,0.49370161918021505
66,0.24183696508407593,0.49176921933369916,0.240281343460083,0.4901850094199975
67,0.2384018748998642,0.4882641445978439,0.23930859565734863,0.48919177799442687
68,0.23644062876701355,0.4862516105546732,0.23133692145347595,0.4809749696745933
69,0.23344925045967102,0.4831658622664385,0.2289799302816391,0.4785184743368213
70,0.23162895441055298,0.48127845828641963,0.22719518840312958,0.47664996423280004
71,0.22858303785324097,0.47810358485713217,0.22188971936702728,0.4710517162340323
72,0.22706171870231628,0.47650993557565646,0.22485636174678802,0.474190216840023
73,0.22450897097587585,0.4738237762880582,0.21701402962207794,0.46584764636314085
74,0.22181862592697144,0.47097624773121144,0.21869491040706635,0.46764827638628836
75,0.2201601266860962,0.4692122405544171,0.21873387694358826,0.46768993675680925
76,0.21781525015830994,0.4667068139188777,0.21271507441997528,0.4612104448296626
77,0.21568478643894196,0.4644187619368343,0.2116016000509262,0.4600017391825016
78,0.2151128500699997,0.4638025981708163,0.21286755800247192,0.46137572324784487
79,0.21278101205825806,0.46128192253572875,0.20788873732089996,0.45594817394184173
80,0.2107061892747879,0.45902743847703475,0.20775675773620605,0.4558034200576012
81,0.20844660699367523,0.45655953280341793,0.2058054804801941,0.4536578892515748
82,0.20789603888988495,0.4559561808879061,0.2056606262922287,0.45349820980046734
83,0.20626115798950195,0.4541598374906151,0.20459018647670746,0.4523164671739328
84,0.20408995449543,0.4517631619504074,0.2020585685968399,0.4495092530714356
85,0.2014431208372116,0.44882415358045474,0.1970375031232834,0.44388906623534147
86,0.19984854757785797,0.44704423447558067,0.19605116546154022,0.44277665415143586
87,0.1982346475124359,0.4452354966896012,0.19716095924377441,0.44402810636689927
