Protein,Pearson,Spearman,RMSE
0,-0.023471457516494244,-0.016782444385154173,0.14604480781863105
1,0.07296893693945403,0.055937997336573106,0.24811031239610995
2,0.2523482895951903,0.20514408832879386,0.3293131724336072
3,0.05298000768194646,0.05239689534908451,0.2466841019327886
4,0.08921122170910989,0.10304436067968024,0.5948517223021377
5,0.05758996913625633,0.08570346774687018,0.19800473153668616
6,0.09238185083675664,0.09549018696600327,0.43941888680603397
7,0.13392155924420984,0.10981801283399772,0.986965215123418
8,0.13030750190542173,0.1596957747615383,0.39281839206868485
9,0.13273930988973187,0.12673817229723378,0.5042513058213143
10,0.18616456573897788,0.18229977207430223,0.40304697660062694
11,0.08547272462798912,0.0975448580922851,0.1945040268614198
12,0.050063125195509865,0.05659199600247707,0.3277240650799703
13,0.13860530634388563,0.13216158319077126,0.5076003289965912
14,0.04909296654268887,0.04041091388571665,0.19076994541219217
15,0.08919855859552286,0.07800179361283255,0.3616177059885581
16,0.139500754846425,0.18479559934494275,0.5869518309301144
17,0.19254460459174635,0.16062032668017717,0.32219706466383247
18,0.13951177837822018,0.1394937220707922,0.375338114227919
19,0.15807043024972509,0.12398059464864486,0.7734023229650551
20,0.007913792546071568,0.03728044845294524,0.22075811150631855
21,0.06842370400251024,0.07250306535083212,0.32987587535007074
22,-0.005412299406691592,0.02398000958082878,0.5942325115534044
23,0.2648400817412578,0.2582644112581798,0.4819811667409716
24,0.2161195709266334,0.2137943026263014,0.473149985376909
25,0.1058110192901838,0.09206040094869875,0.4393789658002997
26,0.008897457902181107,0.020762296246068367,0.19337623564241116
27,-0.007008321430190439,-0.0069305790083059446,0.366910734036387
28,0.014396506962471372,0.021570764960840306,0.3008687481496544
29,0.034168710668039455,0.04433544366106488,0.05960253490034889
30,0.1781408562579881,0.17256612211412042,0.31409157549134137
31,0.024827946949221854,0.0030228895330083323,0.6155160919669265
32,0.05875692636328601,0.10530645697901848,0.14246088000346716
33,0.09792186999288775,0.08326970174005173,0.33746869239011756
34,-0.12797570489926005,-0.12269720273321533,0.1532400770959392
35,0.08117595245386745,0.0680877519727166,0.5057886435750765
36,0.06557578419570312,0.01075952343476413,0.21553046591781364
37,0.12169514431909667,0.15453054664969817,0.19561043952173318
38,0.10425142113095728,0.12480712578518918,0.3220152468536818
39,-0.04517747262299196,-0.030154942694302512,0.1857055763378377
40,0.11222718680178496,0.15866841524278036,0.1474862091775428
41,-0.112986533520334,-0.07153083580037863,1.011726798232733
42,0.04688796244327751,0.049052739360799257,0.1945184658893846
43,0.11197407467261519,0.09725759931575104,0.3077807317258814
44,0.04797955096629477,0.005982861426879134,0.3958131235104246
45,0.12342842807412137,0.13472281686975598,0.38931728932825777
46,0.5492401051440077,0.384965266268751,0.3890258559694972
47,0.04743562279834379,0.037801155994971324,0.3389639059990908
48,0.048411766748372664,0.04176287141942786,0.2463770290181008
49,0.07945154042723138,0.0965188563711843,0.7046724698004385
50,0.044626847977897115,0.05787669285221157,0.10184655846655757
51,0.0197403717817982,-0.00764809737458784,0.43461127620908885
