Pearson Tier,n_proteins,mean_pearson,mean_rmse,mean_raw_expression,mean_detection_rate,mean_clr_variance
Low,94,-0.0016,0.2499,0.9521,0.3533,0.062
Medium,94,0.1027,0.3508,2.1154,0.5412,0.1169
High,94,0.2743,0.5978,11.1899,0.7397,0.2451
