Graph Mode,Mean Pearson (baseline),Mean Pearson (+uncertainty),Mean RMSE (baseline),Mean RMSE (+uncertainty)
attention,0.0998,0.2119,0.3265,0.3294
union,0.0552,0.1504,0.33,0.3344
intersection,0.0105,0.0783,0.3484,0.3555
spatial,0.1505,0.2635,0.3293,0.3325
feature,0.0314,0.124,0.3366,0.3344
