Component,Explained Variance Ratio,Cumulative
1,0.23709707463136293,0.23709707463136293
2,0.08549475333712878,0.32259182796849173
3,0.06141724888766532,0.38400907685615704
4,0.0372136235251608,0.4212227003813178
5,0.019357189512306965,0.4405798898936248
6,0.011160741096202294,0.4517406309898271
7,0.010035248247763844,0.46177587923759095
8,0.009270136135898855,0.4710460153734898
9,0.008695971263922447,0.47974198663741224
10,0.008275720033310912,0.48801770667072314
11,0.007676019408273006,0.49569372607899614
12,0.007002740887673069,0.5026964669666693
13,0.006750606638199037,0.5094470736048683
14,0.00601932044867056,0.5154663940535389
15,0.005495681822769424,0.5209620758763083
16,0.005183803680661785,0.52614587955697
17,0.005075735518542956,0.5312216150755129
18,0.004889643547854224,0.5361112586233672
19,0.004742780021500518,0.5408540386448677
20,0.004693533198612827,0.5455475718434806
21,0.004594889386654777,0.5501424612301353
22,0.004483385000281568,0.5546258462304169
23,0.004444119481292636,0.5590699657117095
24,0.0043530687399060365,0.5634230344516156
25,0.0043225011339169395,0.5677455355855325
26,0.004227695334649318,0.5719732309201818
27,0.004202727086174563,0.5761759580063563
28,0.00412377766237784,0.5802997356687342
29,0.0041159860197636094,0.5844157216884978
30,0.004080095722401603,0.5884958174108994
31,0.004049782219024549,0.5925455996299239
32,0.003948119738750925,0.5964937193686749
33,0.003920672665095418,0.6004143920337703
34,0.0039033684558986968,0.604317760489669
35,0.0038252453671013048,0.6081430058567703
36,0.0038037829570531046,0.6119467888138234
37,0.0037502929261620565,0.6156970817399854
38,0.0037322173222262204,0.6194292990622116
39,0.0036991885788385075,0.6231284876410501
40,0.0036831910064918567,0.626811678647542
41,0.003637137182023764,0.6304488158295657
42,0.003595881190549485,0.6340446970201151
43,0.003590954584176494,0.6376356516042916
44,0.003550292957942157,0.6411859445622338
45,0.003515148048585773,0.6447010926108195
46,0.00350414262353048,0.64820523523435
47,0.003481125366769848,0.6516863606011198
48,0.003444086615712249,0.6551304472168321
49,0.003394480082350648,0.6585249272991828
50,0.0033703101915814157,0.6618952374907642
51,0.0033177706959060587,0.6652130081866703
52,0.0033120810016297676,0.6685250891883
53,0.003288367355432484,0.6718134565437325
54,0.003258005310323564,0.6750714618540561
55,0.0032384694486621434,0.6783099313027182
56,0.003227363071033786,0.681537294373752
57,0.003183253562284918,0.6847205479360369
58,0.003173034053738326,0.6878935819897752
59,0.0031350886652095193,0.6910286706549847
60,0.003109242781326248,0.694137913436311
61,0.003095304120669209,0.6972332175569802
62,0.003078865620610153,0.7003120831775903
63,0.003036214359463636,0.703348297537054
64,0.0030242440229296024,0.7063725415599835
65,0.0030150848137679097,0.7093876263737514
66,0.0030054573188757136,0.7123930836926271
67,0.0029514184635259827,0.7153445021561531
68,0.002936100812251392,0.7182806029684045
69,0.0029264311124416183,0.7212070340808461
70,0.002913423351491206,0.7241204574323373
71,0.002906485501787665,0.727026942934125
