Graph Mode,Mean Pearson (baseline),Mean Pearson (+cellfeat),Mean RMSE (baseline),Mean RMSE (+cellfeat)
attention,0.0998,0.1251,0.3265,0.3983
union,0.0552,0.1241,0.33,0.3951
intersection,0.0105,0.0964,0.3484,0.4169
spatial,0.1505,0.1429,0.3293,0.4124
feature,0.0314,0.1241,0.3366,0.3951
