Graph Mode,RNA Spatial,RNA Feature,Protein Spatial,Protein Feature,Mean Pearson,Median Pearson,Mean Spearman,Median Spearman,Mean RMSE,Median RMSE
attention,6126,57822,6126,61128,0.0998,0.1013,0.0941,0.0959,0.3265,0.3071
feature,57822,,61128,,0.0314,0.0264,0.0319,0.0305,0.3366,0.3167
intersection,328,,1382,,0.0105,0.0079,0.0119,0.009,0.3484,0.317
spatial,6126,,6126,,0.1505,0.1447,0.1465,0.1425,0.3293,0.3095
union,63560,,65668,,0.0552,0.0583,0.0565,0.0603,0.33,0.3107
