Protein,Pearson,Spearman,RMSE
0,-0.012827804485109956,-0.037951545742618276,0.1499692944604469
1,-0.011889908411571296,-0.023666377472996273,0.2513276928775757
2,-0.10434245697567286,-0.07178706434068856,0.3730948726901083
3,0.060113926499227345,0.07512334031285522,0.25073714093326277
4,0.09272266563417952,0.11883699732207996,0.6938469125828551
5,0.017137157475258288,0.01734493847482604,0.19881163503429974
6,0.05230570304885254,0.057783764420391986,0.4756748904034383
7,0.12638177795724792,0.1301845631819127,1.1439862809031782
8,0.09196067476594333,0.09545627265613923,0.39664460521987344
9,0.10026287655303877,0.08690373276709362,0.5346511632917118
10,0.0983330608528727,0.08327813758566611,0.4206699173294757
11,-0.08224736431285162,-0.09984125426390067,0.22290376942638904
12,0.060166277382551786,0.07743798637664243,0.33008444911812257
13,0.13713108689862782,0.11592390055646387,0.5482128133915994
14,0.041452009181892284,0.057407691763092406,0.19363592557518627
15,-0.0029083234902039083,-0.004662735012975936,0.3832147005933364
16,0.09613128515101915,0.12086363309912075,0.6000382058374997
17,0.14777971862374203,0.14714960093764812,0.3344399040681854
18,0.039929211539262904,0.03700217335407762,0.3903943335377992
19,0.06808910278556767,0.05920928169017035,0.9009753257303182
20,0.0380085366134057,0.04069252749135531,0.23649888432585625
21,0.05564267782005035,0.040558354693404665,0.3341992932240623
22,0.036966021787085725,0.035158482279678854,0.6227790233481423
23,0.25446038253812386,0.24514178986495888,0.5123457624371706
24,0.16791154083111715,0.14550516339439767,0.480788445353047
25,0.024858298474042022,0.04439525660154655,0.5075244449177682
26,0.010954684039336282,0.009586142044566018,0.19502525514677393
27,0.029799603655343034,0.03159377514612919,0.36128082956538554
28,0.003129257389161607,0.006546933161875232,0.3340978185685315
29,-0.0034746126008160043,0.012531888470737237,0.06826187353000365
30,0.04562775561062744,0.02972756185092031,0.3158658378528247
31,0.09533991295229952,0.09493633116537137,0.6975485986925782
32,0.00972299471522292,0.024831201228659033,0.16093875285474213
33,0.09244355006423143,0.07999904418150351,0.3467345022973753
34,-0.029422270863988874,-0.02625124007530982,0.14034407214377181
35,0.051224613216829265,0.03729877919991386,0.5192019964692691
36,0.08203550257153633,0.02543749213417515,0.227856842941188
37,0.14473389560263736,0.1259183226808522,0.19273636143873535
38,0.10175959080624462,0.08621415866692238,0.3270621850683595
39,0.05241559447449022,0.0706993200185326,0.18893436503116498
40,0.08595630651644802,0.09604225786105962,0.1458003656497764
41,0.12264154980214342,0.1452301861575869,1.0949300045392028
42,0.1499462041420188,0.1856798552300349,0.17290387973073235
43,0.06765757607490379,0.05644444688288205,0.3159849901026151
44,0.0056078609518847465,0.005442733262361765,0.4096796220410753
45,0.11266393108999424,0.11830507958063413,0.3845862058349342
46,0.49639770364209945,0.34204112163711503,0.40511128217450015
47,0.13238761928450898,0.16317081002159256,0.3420337431520621
48,0.05523719726271689,0.06209942154272423,0.24933103294938017
49,0.06475638747589334,0.08079765565905535,0.8167787277999163
50,-0.06677381777941532,-0.02602505857693273,0.08778478289263383
51,-0.0712264421614831,-0.05704493193050066,0.4301120008511127
52,0.08079889737990882,0.06892244318791249,0.3924779464153585
53,0.023710133800551897,0.03175871614038107,0.49279680102564716
54,0.23065913435550622,0.22326229913748138,0.41782155335604304
55,0.014890126263795066,0.04533689403740636,0.2107237084540487
56,0.10674646242700259,0.10766272237693247,0.2500264128903699
57,0.04035500752281871,0.04686478146312321,0.2523062627973149
58,0.1416933986200409,0.12306498088252658,0.3564798437233352
59,0.16600347445978253,0.17172133999468292,0.3960652515458056
60,0.19497980548054983,0.19323463649355582,0.48157527689037216
61,0.06273017559271923,0.08253452884566145,0.27369383288640087
62,0.10747636885164276,0.09546518757406026,0.4730510010141641
63,-0.030184188189223467,-0.026731990529247313,0.19207143463153561
64,0.21725559530173488,0.13080758570559395,0.3531690810600448
65,0.12247688178547719,0.07899707721691471,0.49532293105092634
66,0.05222125751581893,0.05862954906051008,0.3512020312006741
67,-0.07383806616992798,-0.08480046967447273,0.14372765159875758
68,-0.012248390316214957,-0.008297979753010028,0.31527090053735946
69,0.15408216153151094,0.15511293623593336,0.2317291007892948
70,0.12099374023460298,0.08702054513966334,0.3154936463221061
71,0.028098238967074054,0.055984530778668204,0.12974018781096247
72,0.29164361486714707,0.30721791407153554,0.5497103974397471
73,-0.048785549061776096,-0.04732803605443094,0.12612438605909204
74,-0.019501978689205026,0.022676361659731244,0.08712081703031314
75,-0.01688901130962029,-0.01458207707457305,0.4151445151341343
76,0.11987057600894523,0.10996494864569577,0.37244641985798177
77,0.030297563219066306,0.043209916605960644,0.27509707164474795
78,0.22777564323092195,0.20198761063775608,0.5321565423000258
79,0.08486890767817085,0.024105965810128537,0.36586479545432404
80,-0.019948480371544584,-0.007378070090261455,0.16737681623640768
81,-0.006848566175503136,0.002146152708008957,0.25318809292496586
82,0.29884295507902214,0.25007103172711936,0.3290306685031375
83,0.019738078984434932,0.04197329430669045,0.13231861374106932
84,0.046357945276973976,0.047186940811813446,0.3166954647409297
85,0.04312112680515146,0.061722909938989746,0.07303847162801089
86,0.6418690636380505,0.42154220159854755,0.5245759342104247
87,0.16593138193967122,0.18268308671213324,1.2169517608166143
88,0.030940065668192716,-0.016482701048769578,0.15081248381915724
89,0.18183781508526575,0.1850947199053409,0.48017823590885195
90,0.1172073447933226,0.09499547396082066,0.4434671897814329
91,0.1475842042703245,0.16003454050619179,0.499209968370904
92,0.0913254901755322,0.04465813837089225,0.2203777463688971
93,0.03418370689583137,0.0673443978644795,0.37558709797396933
94,0.14142864869538616,0.14789060040208513,0.4430671288121973
95,0.14204438508439088,0.14784743837245004,0.7994892511999864
96,0.0629966682417943,0.057004159237467766,0.21468617056748782
97,0.13102747589194946,0.12352623469675669,0.2652541588271073
98,0.007595527072585149,0.019649219545785752,0.1858130800745378
99,0.009404540526555859,0.019405202512933747,0.7028256718117117
100,0.3818399733599824,0.3602268214759583,0.591971605383137
101,0.1574883492506028,0.11896095882474965,0.29020060656391905
102,0.2189251788036994,0.21540338391372074,0.47894008272151584
103,0.18979775235349738,0.18032975795641654,0.5247150761274969
104,0.136958532680078,0.1467438647284386,0.3145978650568228
105,0.05956346234200216,0.05091360049816917,0.38200265952382834
106,,,0.049713714356916704
107,0.007856340684933927,0.03304726768099795,0.4765762311179592
108,0.5141552242306117,0.47645568279613876,1.6585380991799568
109,0.07306776723973697,0.08644646614382266,0.2952170141805097
110,0.16353370630561753,0.13295087863451616,0.5003117031692539
111,0.14103411827747278,0.12686946946579594,0.22187908333036613
112,0.281205026726495,0.21644217101089946,0.33459282394029244
113,0.1979717173225865,0.18706180527022206,0.3097271488930967
114,0.11050063021837522,0.0998554560241382,0.2038685963537989
115,0.022504355727334533,0.020052765715419137,0.2592513130295868
116,0.03577299984231953,0.03184354597626001,0.05219585160326408
117,0.13015037074835994,0.14366330068626437,0.7421497745016711
118,0.12474014190170057,0.12080146536217626,0.37005786443350475
119,0.1359439494519042,0.12956244843206582,0.41504610212685034
120,0.04872691256240135,0.06307053543206144,0.31142694377075036
121,0.06800253375195217,0.06676561376241683,0.2165320275865706
122,-0.06382781213370406,-0.032953106614172126,0.1659032616071757
123,0.032718207079090116,0.023264477678685606,0.30184111617467413
124,0.008607245537365695,0.005458728796568055,0.10107794203774158
125,-0.02149909530279453,0.045837159028455116,0.1938148323592876
126,0.2700624780040752,0.23359403860607306,0.3420862549724578
127,0.16968873601598963,0.16408612742013115,0.39738548291054676
128,0.11190608375899959,0.1248171823917734,0.2063085231452315
129,-0.025116793449475233,-0.053634039854843704,0.19004888728401034
130,0.03827974375386884,0.06599025774205246,0.4295179108949541
131,0.10941909826680188,0.05484949314082462,0.18957092440071027
132,0.07704235990250766,0.0889559585052739,2.4603677637349812
133,0.2621544613249958,0.2281188582213504,1.294408783152997
134,-0.0307001592782199,-0.005034181266167154,0.19733287509601907
135,0.2595069240395307,0.26280810006877514,0.6032121641603825
136,0.5347314228224325,0.33091916715086006,0.32208017219035984
137,0.044557849620675126,0.05471276373776559,2.674613780385986
138,0.08307189416771515,0.10701096309899229,3.2790670394330816
139,0.08027816971670725,0.06448041115872796,0.8733061811549578
140,0.0764103155021131,0.0796579363243166,0.48812060684547437
141,-0.004764482649158836,0.009306971538041452,0.2641923233358282
142,0.041180630297736456,0.034855835947877806,0.34032405957584805
143,0.09944661531640682,0.08291533122752498,0.4020826391750118
144,0.037353003447672575,0.039969424241741526,0.26327297100721564
145,0.028367607876787073,0.06309910337544762,0.23268152532020314
146,-0.05991355218565014,-0.046525576379814075,0.23020140475382259
147,0.16256047109697233,0.14118577035605137,0.6015263168193768
148,0.043899904684640875,0.04199744887018559,0.4086007624005512
149,0.0017490268466429505,0.03653924154854452,0.17120823410412928
150,0.11418462995945304,0.10996989085948042,0.43724300209321654
151,0.054842695075439055,0.012569065163665008,0.1459107816445264
152,0.3449669491225626,0.26811652771106104,0.44138034153331845
153,0.19048250261472507,0.1926623748482202,0.4614732811763273
154,0.0622931724222317,0.061558704685594025,0.27887400309368093
155,0.0567420281741332,0.06305848701686222,0.39193009750176816
156,0.004259530022559283,0.02469708883301534,0.1829513566090693
157,-0.016300602523474785,-0.022061467388493402,0.06984367630367823
158,0.01922846368035051,0.020218178960953345,0.228693295853157
159,0.08375009033761395,0.07782003572734131,0.22664372478065423
160,0.09387895364472386,0.0956268913770001,0.4668922561987452
161,0.0934377360168792,0.07198676791458022,0.3900286775735279
162,0.08233917293897261,0.07109627144180447,0.46215333619444904
163,0.05623646428456828,0.06285963747719094,0.22714425535104815
164,0.06134469125572566,0.040551989605371146,0.3202993260434775
165,-0.03338738864691927,-0.029449856984842048,0.11789182917733927
166,0.10798755685141148,0.07559795187391079,0.21100588441577617
167,0.14539937424523883,0.14724641435290461,0.3622334724236159
168,-0.05161557338274022,-0.048038238401392055,0.2466771905327491
169,0.044052524173312554,0.02042598555010105,0.09471363606235027
170,0.472688007750074,0.3935579720871055,0.37252573676916123
171,0.06066981752182046,0.08323026434228388,0.07984410776934153
172,0.08933959706601238,0.10783957002231481,0.3906706484582919
173,0.09029906244926642,0.04417042954598185,0.33062918504818006
174,0.052967488543291585,0.06764236336720003,0.17563219285198325
175,0.23142567698146804,0.22818184395152058,0.42204461763306944
176,0.10372044667332656,0.10479766630112491,0.28032862322881397
177,0.14454676953788922,0.14689347443434825,0.14356881247850833
178,0.10099295557872374,0.11917822828771678,0.29282447743130086
179,0.012121158804303932,-0.060067139602263266,0.12317016939971709
180,0.06356218329247752,0.017479488708160667,0.22268575672674434
181,0.008685619503366963,0.023639191044483213,0.20336204796701937
182,0.06595860251994806,0.055974033170358956,0.41514222520059374
183,0.16780487099538566,0.16003952746995967,0.3446991506300183
184,-0.006190162184178016,0.014695159888944468,0.11508638150523484
185,-0.010833644195274352,0.010198535183591385,0.15834182475033365
186,0.10291277839329757,0.08456977280093794,0.31417504247640454
187,0.008778962224241241,0.020326485917230103,0.2984260555774424
188,0.05194779433750163,0.030613823128226306,0.40560540337573336
189,0.028379653022955538,0.03848480156202386,0.45063174408566387
190,0.5701337144461115,0.4229566558066376,0.47463364996698676
191,0.5882384419899322,0.4769110863389986,0.8837522442419248
192,-0.03150646139277908,0.05088124447621071,0.13039364606375722
193,0.05289249169500297,0.04992048192363646,0.34541646427565464
194,-0.05109347070073335,-0.020030694287523774,0.313467380113204
195,0.0801771545536851,0.0740179730060484,0.1834353839256774
196,0.0394435951103687,0.02808492400240972,0.24465816312755578
197,0.1508237584811229,0.11285106523185,0.4377340825479681
198,0.10575111718594382,0.10908682969878447,0.28974123394001056
199,0.07291901908169392,0.08697913805785583,0.2406876963194891
200,0.018429182316731844,0.019099798138982358,0.2425416442245049
201,0.02575903656639887,0.019211314414128808,0.2274028452180347
202,0.03203446535926463,0.027503680042397567,0.48808751633941405
203,-0.011684291064661382,0.004494745368390039,0.30194531323796975
204,-0.03335163659400793,-0.009765096304240639,0.09893558139722948
205,0.11581355796507929,0.11028335266210804,0.45346996394286243
206,0.03422728405194852,0.0414590568566971,0.6991981210222685
207,-0.07805672863830226,-0.06236159890816789,0.24820930440166883
208,0.43884070377559314,0.3037872464673139,0.3833160442030459
209,-0.10139739854232857,-0.0664253072905461,0.271304774322313
210,0.06335224355603108,0.06229988438778811,0.12285128928246657
211,0.04033667722325304,0.07388299587238113,0.23803807694453682
212,0.3072710585572813,0.3120203748265068,2.0795493346990503
213,0.010799048279513376,0.004951482526403351,0.318053721549168
