epoch,train_mse,train_rmse,val_mse,val_rmse
0,0.8776130080223083,0.9368100170377708,0.9109472632408142,0.9544355731220491
1,0.851475179195404,0.9227541271624874,0.8799706697463989,0.9380675187567251
2,0.8243533372879028,0.9079390603382491,0.8520272374153137,0.9230532148339627
3,0.796387255191803,0.8924053200154081,0.823696494102478,0.9075772661886579
4,0.7704086303710938,0.8777292466194195,0.7905114889144897,0.8891071301673886
5,0.7478882074356079,0.8648053003049923,0.7651321291923523,0.8747183141974062
6,0.7240166068077087,0.8508916539769965,0.748832643032074,0.8653511674644427
7,0.7019901871681213,0.8378485466766182,0.7142613530158997,0.8451398422840445
8,0.683154821395874,0.8265318030153915,0.6975368857383728,0.8351867370464959
9,0.6640118956565857,0.8148692506510389,0.6775438189506531,0.8231304993442128
10,0.6446393728256226,0.8028943721471851,0.6676756739616394,0.8171142355641832
11,0.6268033385276794,0.7917091249491062,0.642471432685852,0.8015431570950201
12,0.6098199486732483,0.7809096930332267,0.6256726980209351,0.7909947522082148
13,0.5943726897239685,0.770955698937344,0.6134999990463257,0.7832624075278513
14,0.5794066190719604,0.761187637230112,0.5940033793449402,0.7707161470638462
15,0.5664899945259094,0.7526552959528747,0.5765884518623352,0.7593342161804216
16,0.552403450012207,0.7432384879782579,0.5625512003898621,0.750034132816542
17,0.5404548048973083,0.735156313240462,0.552246630191803,0.7431329828447955
18,0.5275744199752808,0.7263431833336641,0.5418509244918823,0.7361052400926665
19,0.5163341760635376,0.7185639679691277,0.5281155109405518,0.7267155639867304
20,0.5042034983634949,0.7100728824307367,0.5107293725013733,0.7146533232983481
21,0.49421560764312744,0.7030046995882229,0.5013817548751831,0.7080831553392463
22,0.48392313718795776,0.6956458417815474,0.4917372763156891,0.7012398136983446
23,0.4744715988636017,0.6888189884603949,0.4855445623397827,0.6968102771485095
24,0.4644187390804291,0.6814827503909612,0.4733465909957886,0.6880018829885486
25,0.4558930993080139,0.6751985628746657,0.46653294563293457,0.6830321702767261
26,0.4471213221549988,0.6686713110004038,0.4512440264225006,0.6717469958418129
27,0.43819519877433777,0.6619631400420554,0.43837445974349976,0.6620985272174374
28,0.4310179054737091,0.6565195392931646,0.4352332651615143,0.659722112075618
29,0.42234769463539124,0.6498828314668662,0.42481863498687744,0.6517811250618396
30,0.4135585427284241,0.6430851753293836,0.4228137135505676,0.6502412733367267
31,0.4066220223903656,0.6376692107906462,0.40981239080429077,0.6401659088113727
32,0.399968683719635,0.6324307738556332,0.401450514793396,0.6336012269506712
33,0.3930164575576782,0.6269102468118368,0.3926774263381958,0.6266397899417143
34,0.3872367739677429,0.6222835157448274,0.3934960961341858,0.6272926718320451
35,0.37822338938713074,0.6149986905572489,0.37830427289009094,0.6150644461274696
36,0.3731998801231384,0.6109008758572363,0.3714252710342407,0.6094466925287565
37,0.36569660902023315,0.6047285415955106,0.3653683364391327,0.6044570592185459
38,0.35972779989242554,0.5997731236829685,0.3582654893398285,0.5985528291970797
39,0.353091299533844,0.5942148597383307,0.3551344573497772,0.5959315878100248
40,0.34730470180511475,0.5893256330799762,0.34530478715896606,0.5876264010057463
41,0.342374712228775,0.585127945178467,0.3422020375728607,0.5849803736646733
42,0.3363010287284851,0.5799146736619838,0.33607447147369385,0.5797193040374745
43,0.3310917913913727,0.5754057623897876,0.33204394578933716,0.5762325448890727
44,0.3266295790672302,0.5715151608376021,0.3270895779132843,0.5719174572552269
45,0.321116179227829,0.5666711385167141,0.3194471299648285,0.5651965410057181
46,0.3169136047363281,0.5629508013461995,0.3164416253566742,0.562531443882628
47,0.3110055923461914,0.5576787537159645,0.3058193027973175,0.5530093152898218
48,0.30704858899116516,0.5541196522333107,0.29847532510757446,0.5463289532027151
49,0.30198371410369873,0.5495304487502933,0.30147793889045715,0.5490700673779778
