epoch,train_mse,train_rmse,val_mse,val_rmse
0,0.8757798075675964,0.9358310785433429,0.8814857006072998,0.9388746990985005
1,0.8414005637168884,0.9172788909142565,0.857026219367981,0.925757106031588
2,0.8093897104263306,0.8996608863490346,0.8216930627822876,0.9064728693029305
3,0.7786549925804138,0.8824142975838581,0.7957935929298401,0.892072638819194
4,0.7508937120437622,0.8665412350510288,0.7696151733398438,0.8772771359951448
5,0.7243415117263794,0.8510825528269155,0.7432513236999512,0.8621202489791961
6,0.7003192901611328,0.8368508171479149,0.7198549509048462,0.8484426621197487
7,0.6776501536369324,0.8231950884431541,0.6897425651550293,0.8305074142685478
8,0.6582198143005371,0.8113074721093952,0.6724668741226196,0.8200407758902112
9,0.640857994556427,0.8005360669928788,0.6618220806121826,0.81352448064713
10,0.6238579750061035,0.789846804770459,0.6439161896705627,0.802443885683331
11,0.6096261739730835,0.7807856133235829,0.6266964077949524,0.791641590490894
12,0.5939840078353882,0.7707035797473554,0.6105466485023499,0.781374845066278
13,0.5808524489402771,0.7621367652464203,0.5970155596733093,0.7726678197474703
14,0.5670572519302368,0.7530320391127039,0.582472026348114,0.7631985497549861
15,0.5558496713638306,0.7455532652760838,0.5716208815574646,0.7560561365120083
16,0.5443156361579895,0.7377774977308467,0.5633304119110107,0.7505534037701853
17,0.5341612696647644,0.7308633727754897,0.5502214431762695,0.741769130643942
18,0.5231667757034302,0.7233026860889086,0.5396369695663452,0.7345998703827447
19,0.5135699510574341,0.7166379497748037,0.5298489332199097,0.7279072284432334
20,0.5030940771102905,0.7092912498475437,0.5135504007339478,0.716624309337848
21,0.4944310784339905,0.7031579327818115,0.5086418390274048,0.7131913060514723
22,0.48518872261047363,0.6965548956187686,0.49720075726509094,0.7051246395248792
23,0.4764157235622406,0.6902287472731345,0.4893122911453247,0.6995086069129706
24,0.46823790669441223,0.6842791146121677,0.48381540179252625,0.6955684019508982
25,0.45950618386268616,0.6778688544716346,0.47688376903533936,0.6905677150253546
26,0.4525964558124542,0.6727528935741965,0.4624990224838257,0.6800728067522077
27,0.4440586566925049,0.6663772630368663,0.45342910289764404,0.6733714449675187
28,0.4359375238418579,0.6602556503672331,0.450499027967453,0.6711922436734896
29,0.4299670457839966,0.6557187245946211,0.44510123133659363,0.6671590749863137
30,0.4207371473312378,0.6486425420300751,0.4326833188533783,0.6577866818759546
31,0.4135170578956604,0.6430529199806657,0.42414936423301697,0.6512675058937126
32,0.4063601791858673,0.6374638650040231,0.4140131175518036,0.6434385110885139
33,0.4000956118106842,0.632531115290532,0.4094778597354889,0.6399045708037167
34,0.394243061542511,0.6278877778253937,0.40312597155570984,0.6349220200589281
35,0.38568833470344543,0.6210381105080794,0.3891651928424835,0.6238310611395392
36,0.38119253516197205,0.6174079163421635,0.3853074312210083,0.6207313680014958
37,0.3734933137893677,0.6111409933798972,0.3833201229572296,0.6191285189338556
38,0.36791500449180603,0.6065599760055109,0.3763291537761688,0.6134567252676988
39,0.3620990514755249,0.6017466671910405,0.3720543682575226,0.6099625957856125
40,0.3559383749961853,0.5966057115014785,0.3608895540237427,0.6007408376527624
41,0.35128775238990784,0.5926953284697862,0.35875532031059265,0.598961868828553
42,0.34536170959472656,0.5876748332153816,0.35057079792022705,0.592090194075385
43,0.33979517221450806,0.5829195246468487,0.35193297266960144,0.5932393890071709
44,0.33526119589805603,0.5790174400638171,0.34310466051101685,0.5857513640709826
45,0.3307242691516876,0.5750863145230354,0.34163472056388855,0.584495269924307
46,0.3249082565307617,0.5700072425248311,0.32807862758636475,0.5727814832781911
47,0.32025861740112305,0.5659139664305194,0.3272831439971924,0.5720866577689017
48,0.31532925367355347,0.5615418538929698,0.31446778774261475,0.560774275214738
49,0.3103494346141815,0.5570901494499625,0.3193698227405548,0.5651281471848264
50,0.3073035180568695,0.5543496352094673,0.3137032389640808,0.5600921700613933
51,0.302734911441803,0.5502135144121807,0.30612003803253174,0.5532811564047087
52,0.29858633875846863,0.5464305433982151,0.2967588007450104,0.5447557257569766
53,0.29499566555023193,0.5431350343609146,0.2959875762462616,0.5440474025728471
54,0.291171669960022,0.5396032523623463,0.29350054264068604,0.5417569036391563
55,0.2872326374053955,0.5359408898427097,0.28472134470939636,0.5335928641852291
56,0.28369665145874023,0.5326318160406307,0.2946971356868744,0.5428601437634507
57,0.28057196736335754,0.5296904448480806,0.28057271242141724,0.5296911481433471
58,0.2757166028022766,0.5250872335167526,0.2827383875846863,0.5317314995227256
59,0.27250784635543823,0.5220228408369103,0.2768952250480652,0.5262083475659287
60,0.2690337300300598,0.5186846151854322,0.26830819249153137,0.5179847415624628
61,0.2657192647457123,0.5154796453262848,0.2723844647407532,0.5219046510050981
62,0.2630610466003418,0.5128947714691015,0.26364171504974365,0.5134605292033104
63,0.2591344714164734,0.5090525232394723,0.25819528102874756,0.508129197181925
64,0.2571381628513336,0.5070879241821221,0.25772711634635925,0.5076683133172281
65,0.25336650013923645,0.5033552424870893,0.2577763795852661,0.507716830118193
66,0.25056955218315125,0.5005692281624503,0.2507372498512268,0.5007367071138552
67,0.2477896362543106,0.4977847288279449,0.2560497522354126,0.5060135889829567
68,0.24512894451618195,0.49510498332796243,0.24995365738868713,0.49995365524085045
69,0.2425050437450409,0.4924480112103621,0.24472321569919586,0.4946950734535324
70,0.24048081040382385,0.4903884280892279,0.2425958216190338,0.4925401725941081
71,0.23773442208766937,0.48758016990815917,0.23565778136253357,0.48544596132065365
72,0.23552076518535614,0.4853048167753501,0.23877647519111633,0.48864759816366266
73,0.2322068065404892,0.481878414686204,0.22909486293792725,0.47863855145394135
74,0.23019394278526306,0.4797853090552722,0.22993144392967224,0.4795116723601963
75,0.22844001650810242,0.47795398994893057,0.23063810169696808,0.4802479585557528
76,0.22640718519687653,0.4758226404836959,0.22589345276355743,0.47528249785107535
77,0.22382469475269318,0.4731011464292738,0.22351710498332977,0.47277595643531806
78,0.22229906916618347,0.47148602223839414,0.2238011211156845,0.4730762318228263
79,0.21943612396717072,0.468440096455428,0.2190255969762802,0.46800170616812947
80,0.21701043844223022,0.4658437918897602,0.2202894389629364,0.46935001753801653
81,0.21504764258861542,0.46373229625357715,0.21810418367385864,0.46701625632718463
82,0.2133450210094452,0.46189286745894353,0.2132071852684021,0.4617436358721169
83,0.21178936958312988,0.4602057904710999,0.21204866468906403,0.46048742077179916
84,0.20951677858829498,0.45773002806053154,0.20946595072746277,0.45767450303404794
85,0.2071775197982788,0.45516757331589297,0.21144479513168335,0.4598312681100355
86,0.20549646019935608,0.4533171739514797,0.2033185213804245,0.45090855101719296
87,0.20269174873828888,0.4502130037418831,0.20158079266548157,0.4489774968364022
88,0.20199476182460785,0.44943827365346606,0.20275865495204926,0.4502873026769123
89,0.20022863149642944,0.44746914027274487,0.2041536420583725,0.4518336442302327
90,0.19807305932044983,0.4450539959605461,0.19700951874256134,0.4438575432980286
91,0.19761699438095093,0.44454133034055554,0.20080146193504333,0.4481087612790486
92,0.1961374133825302,0.4428740378285119,0.1977696716785431,0.4447130217101171
93,0.1933482587337494,0.43971383732349084,0.19671212136745453,0.4435224023287375
94,0.19267041981220245,0.4389423878052819,0.19405204057693481,0.4405133829714312
95,0.19132784008979797,0.43741037949481487,0.1925545632839203,0.43881039559691415
96,0.19096742570400238,0.43699819874228585,0.19074906408786774,0.4367482845849171
97,0.18700161576271057,0.4324368344194451,0.1870681196451187,0.4325137219154078
98,0.1863519549369812,0.43168501819843275,0.18875838816165924,0.4344633335065909
99,0.18609589338302612,0.4313883324604713,0.1904638409614563,0.4364216320961374
100,0.18399421870708466,0.4289454728833079,0.18561410903930664,0.4308295591522321
101,0.18286465108394623,0.4276267660985994,0.18395988643169403,0.42890545162272536
102,0.1812722384929657,0.4257607761325199,0.1761675328016281,0.41972316209810023
103,0.18001113831996918,0.4242771951448359,0.18167449533939362,0.42623291207905756
104,0.17882601916790009,0.4228782557284071,0.18167227506637573,0.42623030754085955
105,0.1773357093334198,0.42111246637141936,0.18001534044742584,0.42428214721742163
106,0.1767309010028839,0.4203937451995259,0.17612457275390625,0.41967198233132774
107,0.17543666064739227,0.4188515974034148,0.17601914703845978,0.4195463586285308
108,0.17356514930725098,0.416611508851173,0.1746811717748642,0.41794876692588073
109,0.1732545793056488,0.416238608619682,0.17711853981018066,0.4208545352139866
110,0.17301809787750244,0.4159544420696844,0.1727580726146698,0.41564175995040464
111,0.1712614893913269,0.4138375156886177,0.17330896854400635,0.4163039376993765
112,0.16986259818077087,0.412143904699282,0.1753109246492386,0.418701474381496
113,0.16909435391426086,0.41121083876067865,0.17038573324680328,0.41277806778801035
114,0.16858534514904022,0.410591457715623,0.16890563070774078,0.4109813021388452
115,0.16716676950454712,0.4088603300695081,0.16876548528671265,0.41081076578725717
116,0.16603505611419678,0.4074739944023382,0.16798405349254608,0.4098585774295154
117,0.16591528058052063,0.4073269946621763,0.1633634716272354,0.40418247318165024
118,0.16381224989891052,0.4047372603293531,0.1622188836336136,0.40276405454510655
119,0.16435040533542633,0.40540153593126205,0.16282114386558533,0.40351102074861017
120,0.16277173161506653,0.40344978822037636,0.16162708401679993,0.40202871043844607
121,0.16235016286373138,0.40292699445896074,0.16111350059509277,0.4013894624863647
122,0.16072364151477814,0.40090353143216156,0.1598798781633377,0.3998498195114482
123,0.16069301962852478,0.40086533852220846,0.1585942506790161,0.3982389366686991
124,0.16002120077610016,0.40002650009230656,0.1595272272825241,0.39940859690613084
125,0.1587836891412735,0.39847671091454456,0.16122649610042572,0.40153019326126116
126,0.15843237936496735,0.39803565087183757,0.15980780124664307,0.3997596793657948
127,0.15773934125900269,0.39716412383170097,0.1587938368320465,0.39848944381507334
128,0.15664583444595337,0.39578508618435,0.1571871042251587,0.396468289053688
129,0.15585023164749146,0.3947787122521824,0.15922501683235168,0.3990300951461577
130,0.15533484518527985,0.3941254180908405,0.159567192196846,0.3994586238859364
131,0.15479552745819092,0.3934406276151345,0.1536659151315689,0.3920024427622472
132,0.15446686744689941,0.39302273146333333,0.15335726737976074,0.391608563976531
133,0.15396352112293243,0.392381856261133,0.1511463075876236,0.3887753947816446
134,0.15341024100780487,0.3916761940784822,0.15311217308044434,0.39129550608260805
135,0.1519990861415863,0.3898706017919103,0.1521376371383667,0.39004824975683033
136,0.15194885432720184,0.3898061753323077,0.15386563539505005,0.39225710368972294
137,0.15113019943237305,0.38875467769838223,0.15261361002922058,0.3906579194502789
138,0.15058451890945435,0.3880522115765536,0.1525270640850067,0.3905471342680762
139,0.14898166060447693,0.3859814252065466,0.1529674381017685,0.3911105190374819
140,0.14986158907413483,0.38711960564421793,0.14768481254577637,0.38429781751367825
141,0.1483544558286667,0.38516808775996314,0.14792023599147797,0.3846039989280896
142,0.1490616500377655,0.3860850295437075,0.15193809568881989,0.38979237510349
143,0.1475663036108017,0.3841435976439041,0.14832158386707306,0.38512541316702675
144,0.14817698299884796,0.3849376352071176,0.15472820401191711,0.3933550609969536
145,0.14648349583148956,0.3827316237672157,0.1474897414445877,0.3840439316596315
146,0.1462717354297638,0.3824548802535585,0.14618253707885742,0.3823382495629458
147,0.14588047564029694,0.38194302669416147,0.14767436683177948,0.38428422662370554
148,0.1454879492521286,0.3814288259323469,0.14672544598579407,0.38304757666090783
149,0.14510899782180786,0.3809317495586419,0.14452840387821198,0.3801689149288931
150,0.14515280723571777,0.38098924818912905,0.1478569656610489,0.3845217362660385
151,0.14447470009326935,0.3800982768880561,0.14474017918109894,0.3804473408779446
152,0.14378710091114044,0.3791926962787396,0.14424288272857666,0.3797932104824633
153,0.14411820471286774,0.3796290356556881,0.14455755054950714,0.3802072468398086
154,0.14314205944538116,0.3783411944863805,0.14273639023303986,0.37780469853224413
155,0.14281244575977325,0.377905339681478,0.1442263424396515,0.37977143447032913
156,0.14215943217277527,0.37704035881159365,0.14100569486618042,0.3755072500847093
157,0.14184139668941498,0.3766183700902214,0.1453154981136322,0.38120269950989616
158,0.1420682817697525,0.37691946324082615,0.14070166647434235,0.375102208037146
159,0.14123161137104034,0.37580794479499813,0.13971517980098724,0.37378493790010753
160,0.14099229872226715,0.37548941226387084,0.14341504871845245,0.3787017939202988
161,0.14031872153282166,0.37459140611180824,0.13877055048942566,0.3725191947932692
162,0.1399955004453659,0.3741597258462833,0.14035458862781525,0.3746392780099482
163,0.14023995399475098,0.37448625341225944,0.1393468827009201,0.3732919537050325
164,0.1389007419347763,0.3726938984404981,0.13870686292648315,0.3724337027263821
165,0.1384233981370926,0.37205295071682015,0.1374845653772354,0.370789111729613
166,0.13943736255168915,0.3734131258427978,0.13835927844047546,0.37196677061328404
167,0.13818791508674622,0.3717363515809911,0.1376117765903473,0.37096061326015095
168,0.13806717097759247,0.3715739105179378,0.13689804077148438,0.369997352384425
169,0.13748867809772491,0.3707946575905927,0.138591930270195,0.3722793712659822
170,0.13728010654449463,0.37051330144071026,0.1391446441411972,0.3730209701091846
171,0.13734637200832367,0.37060271451828797,0.13939188420772552,0.37335222539543744
172,0.1370885670185089,0.37025473260784786,0.1377211958169937,0.37110806487732617
173,0.13683196902275085,0.3699080548227503,0.13735654950141907,0.37061644526574783
174,0.13675077259540558,0.36979828636082884,0.13664789497852325,0.36965916054999
175,0.1358623206615448,0.36859506326257924,0.1376013457775116,0.37094655380190766
176,0.135258287191391,0.3677747778075476,0.138231098651886,0.3717944306359174
177,0.13474808633327484,0.3670804902651118,0.13462823629379272,0.36691720632016256
178,0.1348021775484085,0.36715416046724636,0.1341506987810135,0.3662658853633703
179,0.13464049994945526,0.3669339176874431,0.1346578150987625,0.3669575112990093
180,0.13459216058254242,0.36686804246560156,0.13588857650756836,0.368630677653893
181,0.13442212343215942,0.3666362276591873,0.1335156261920929,0.36539790118731236
182,0.1337003856897354,0.3656506333780039,0.13255684077739716,0.36408356290472266
183,0.13419830799102783,0.3663308722876463,0.13485866785049438,0.36723108235890706
184,0.13353385031223297,0.36542283769933287,0.1344519853591919,0.36667694958804253
185,0.13272406160831451,0.364313136749575,0.13327883183956146,0.3650737347982753
186,0.13257138431072235,0.3641035351527397,0.13077673316001892,0.3616306584901492
187,0.13248351216316223,0.36398284597376596,0.13323849439620972,0.36501848500618395
188,0.13276712596416473,0.36437223544634234,0.1341637670993805,0.3662837248628179
189,0.1316976100206375,0.36290165337269753,0.13354764878749847,0.3654417173606463
190,0.1321902722120285,0.36357980171075027,0.13230548799037933,0.363738213541524
191,0.13249348104000092,0.3639965398736654,0.1340760886669159,0.36616401880430016
192,0.13137634098529816,0.3624587438389342,0.1320265233516693,0.3633545422196746
193,0.13099654018878937,0.3619344418382829,0.13004358112812042,0.3606155586329026
194,0.13101258873939514,0.3619566116807305,0.13148722052574158,0.36261166628466546
195,0.13125665485858917,0.3622936031157453,0.1304301917552948,0.3611512034526464
196,0.13066136837005615,0.3614711169236847,0.1300228238105774,0.3605867770878147
197,0.13053587079048157,0.36129748240263393,0.13119980692863464,0.36221513901082963
198,0.13024522364139557,0.36089503133375994,0.12719354033470154,0.35664203388650295
199,0.13001154363155365,0.3605711353277653,0.1295880824327469,0.35998344744272187
