Protein,Pearson,Spearman,RMSE
0,-0.040733051656356614,-0.003562848916751863,0.1405830792341656
1,0.0969727952822217,0.08290578835238098,0.23406058471971128
2,0.2008945166580232,0.17778379887651932,0.32852454265617514
3,0.14034545341436697,0.14511186748949853,0.23960131281238192
4,0.09117074794407286,0.07342485982947768,0.5498355250151842
5,0.09530786965588423,0.08963333718998096,0.19091504835713155
6,0.22613004441143797,0.2032464844914719,0.41266438342195083
7,0.13896166446628463,0.14043197355354806,0.7569843915140871
8,0.17018650181229164,0.16186668599792892,0.3870070258700826
9,0.22837925268206918,0.2477347923034686,0.4493098723407281
10,0.2111272060091433,0.20147830996226315,0.3970012573226304
11,0.050546691296184686,0.05520690344538578,0.19245140688236737
12,0.044340580388605576,0.04884965031381244,0.31700221423100494
13,0.13732066887041475,0.15468121692459258,0.4521998126928569
14,-0.07622790990578615,-0.077262236372228,0.19033162729010966
15,0.14290702974179256,0.12032879510188885,0.3589600704404391
16,0.18130915181107182,0.19493229116590663,0.5704953600616928
17,0.2125804334849578,0.18406829359747837,0.31644733179048357
18,0.1865072073261958,0.1677738831835356,0.3592195948495506
19,0.16302647089214373,0.16424280982731448,0.5025596013171836
20,0.011414591391575857,0.023202786559054264,0.21438289523354934
21,0.06639877827324711,0.07233367771723108,0.3264001439999787
22,0.09666388323043312,0.09695576830534289,0.47600527741324783
23,0.3145616244296085,0.30151615791930353,0.4735507084999135
24,0.154660025290735,0.16268950456994136,0.446181092885181
25,0.1387910778012932,0.1328879467642174,0.43567685719168947
26,0.06970406535919606,0.06826604887928889,0.18436044970511287
27,0.10616831539640986,0.12141973000689803,0.3389543161973615
28,0.12843796456962495,0.10772162757759665,0.2863114330528575
29,-0.021787492418328707,-0.06484716422932099,0.04849095031130339
30,0.1650687770158772,0.16000664100389955,0.30518030378153566
31,0.07575764026769993,0.06207982894617112,0.5419135147676124
32,0.09387316293950808,0.12400870200132126,0.13143012806229956
33,0.16646578061596823,0.13646824501680646,0.3221017623891276
34,-0.0618795922195645,-0.07568277966924213,0.13448095952690328
35,0.11392329738407846,0.10300189364524931,0.4958545201591977
36,-0.003691351118640231,-0.022454529446457656,0.2116218539170434
37,0.12340337786933869,0.14856701144003304,0.18294056943907577
38,0.14481822421794385,0.14504612807036374,0.31318507900006504
39,-0.035401955071139225,-0.033879485545114586,0.17913313610429898
40,0.2657499281592846,0.2630294785354129,0.13862125361573038
41,0.25497756464602545,0.29094245259146767,0.5438677377189791
42,-0.034630265776646456,-0.014470021269309824,0.17479423454352544
43,0.03844007630908413,0.0031130065549478006,0.3062758876651936
44,0.11532856039593922,0.1522175747153112,0.38220006703742837
45,0.15460324668406192,0.12673727495555126,0.36773807980717516
46,0.559592911909297,0.38716759891618885,0.3809290675546846
47,0.13656577799783692,0.1264831411022445,0.33287791557074525
48,0.06983862534966902,0.08107119004525691,0.2355382694993785
49,0.14898906194505535,0.18423625016238412,0.6711131211638501
50,0.06640539549834631,0.046341415430950265,0.07927872935020822
51,0.060739059263330446,0.025613817682507475,0.40964606743662085
52,0.18236280279478156,0.19469489945158047,0.369292588190348
53,0.12837441546462575,0.14810391597910863,0.42298497046807654
54,0.2692963380784197,0.24538418738306786,0.3967697122808028
55,-0.0026668222693168844,0.004438651629786973,0.20390588234325174
56,0.07706885729787334,0.07515789356824641,0.23937318977634062
57,-0.02391584437294783,-0.04835010425598292,0.24118249388817278
58,0.302423694516434,0.30128757870772177,0.3385114766798666
59,0.17849321289972706,0.16361405167110288,0.38266992107021
60,0.17307429219926723,0.14867036847049506,0.4430910945691607
61,0.10465148108545512,0.1360828179620036,0.26245452657770857
62,0.19374959091778593,0.18877280875417507,0.42501651243502675
63,0.11637531564155383,0.10938995167928216,0.17679064976920011
64,0.36715599586827485,0.2802180224669015,0.31958125368257456
65,0.190821390895988,0.191811023414594,0.4494844580201109
66,0.16094483511174779,0.16988926209625368,0.33071386179753326
67,0.05350649463486467,0.0378856417372706,0.11766467667131891
68,0.04464951415797087,0.012988681586084024,0.299211234382953
69,0.1428578217798721,0.12641552303141254,0.21722022826459175
70,0.12262098603607284,0.10113261253099637,0.3087696574476397
71,-0.03688567981503945,-0.038512117262169875,0.11739896501668377
72,0.28771748447842,0.2721966851930317,0.5134876880248488
73,-0.0936003009698766,-0.06089529260054333,0.11648286006775549
74,-0.02344190337101751,-0.03503599930051634,0.0795203426365496
75,0.09886225113297945,0.10094148748486319,0.3888537671454902
76,0.20985335061890803,0.18233539027542972,0.350549837154269
77,0.07593816783840004,0.11483829629751405,0.24845456965770268
78,0.21897424636100404,0.1964808856142182,0.48753063708087746
79,0.08097340866673987,0.05631051985552174,0.34830564917156875
80,0.0730767519193366,0.07522693956542326,0.14540677974481075
81,0.1372373629882007,0.16818235865420914,0.23891901618136024
82,0.3284568683547905,0.2740259767912954,0.3216386996843753
83,-0.08432485969065502,-0.08584844226338494,0.12807988419370453
84,0.159027506259528,0.14210125037338184,0.302937411212401
85,-0.036745653599646835,-0.02566181833516207,0.03546631335098117
86,0.7370552782485975,0.4108120355893063,0.4456614123795728
87,0.1777733665886775,0.16111506998460726,0.5357765929762691
88,0.010529627129683625,0.007929715188985036,0.11026944360350671
89,0.29850472104634845,0.28676872524182934,0.4278463379267084
90,0.09782666980223882,0.09299979961993174,0.4276232256771442
91,0.1803765631236459,0.205486454094297,0.43953167004760163
92,0.1377245054509193,0.1573272801233202,0.20925519727284833
93,0.16336801970086878,0.16947202711443785,0.3515786497280221
94,0.22720031942714453,0.21984336257375828,0.4290113520268589
95,0.20068967468469598,0.18792813064272582,0.5210350119279265
96,0.11284628971611668,0.14518658601914575,0.20488527102005333
97,0.12787768252185588,0.1396338505915206,0.25165732061354285
98,-0.06326617587750177,-0.0343126332709548,0.16220268928185555
99,0.1296017027784323,0.11951076786762892,0.5462678809941779
100,0.4601332324626592,0.4174094272302464,0.5152301413663416
101,0.2479803498952721,0.2045220813662856,0.24308279516816014
102,0.32291188829985346,0.3059458106652496,0.38773288963673824
103,0.19048041573249364,0.17579072652632854,0.4800838553296952
104,0.0880190321133992,0.10983475702366462,0.30544505048650605
105,0.09634992279097632,0.09611530690704645,0.36824000214440195
106,,,0.005583480969201337
107,0.06242748592242759,0.0799070146156275,0.43306281222749954
108,0.6185936831210975,0.5457265428845581,0.6624213971537763
109,0.07872868553388221,0.08006878436113352,0.27797311716229023
110,0.22236657877812993,0.21577781107042765,0.435813828908677
111,0.1857201174724501,0.1595495170366711,0.21933335412112526
112,0.2978983404091155,0.2457010489138115,0.32612645469730683
113,0.27690692599669875,0.15241669280021794,0.2961058355721201
114,0.04657445875073454,0.06581043909209001,0.19935115689647884
115,0.14609998910319336,0.14862173565154158,0.2420910733973969
116,0.023946639959653473,0.05374471827071387,0.04823411209629224
117,0.1511718869248361,0.15359790798144685,0.7476356245319067
118,0.1376254783877938,0.15676160876043985,0.35635259685297344
119,0.13973192782173213,0.1103849107579311,0.39816640616621446
120,0.13468926423482053,0.13720887973394216,0.3008751442346288
