Protein,Pearson,Spearman,RMSE
0,-0.007059918894000674,0.015002033240409917,0.14636568210625941
1,0.055757934030684554,0.06310741881812532,0.2470616308074795
2,0.21996818287371686,0.18023753098814957,0.33129963103117477
3,-0.013819510779680471,-0.016680746851193484,0.25741872837071
4,0.1921893876072657,0.2165840447023705,0.6713161488691514
5,-0.020397032138598597,-0.029631243413813218,0.2042191199262405
6,0.049421909136567216,0.06965559005137123,0.4784184784721336
7,0.3252333562221676,0.3191639654234921,1.1636008737633492
8,0.12812452624268858,0.153396505959492,0.41010608857194014
9,0.21618914546908716,0.21236603153105432,0.53947266268683
10,0.18527509211196388,0.17284591330218493,0.40352350351530897
11,0.06649301664842235,0.06460503032303241,0.1987176168302739
12,0.07637572578786136,0.0933296850062293,0.3382221252241505
13,0.21667023290833332,0.19965197778981392,0.49490351646065883
14,0.0895788128378192,0.10479907787188851,0.19129805558889648
15,0.05123095344197838,0.039113095766346626,0.3768993708385584
16,0.21781582846700467,0.2042818729792209,0.5694300266925145
17,0.18890791113093755,0.18455954438238148,0.3267591783011074
18,0.24134975809469317,0.22742705329982732,0.3669569085556545
19,0.22657735227010592,0.2423658521780575,0.8971959122512259
20,0.03350675821669968,0.048791950726532675,0.22282901535609156
21,0.11137675771742025,0.1200818552474734,0.32605095744329154
22,0.17603163225192284,0.17558624568609912,0.6313674998726636
23,0.298622486588425,0.30370789243166335,0.5252809519349185
24,0.23211594083964285,0.2339851204863979,0.4701741129822708
25,0.07027290483103986,0.057108338976768,0.4724846242332561
26,-0.0651404496637159,-0.04937791698576799,0.20182651512878533
27,0.0372740736503248,0.04435762169687846,0.3669474956480832
28,-0.005027988494907398,0.0018460204474429725,0.31430362094092146
29,-0.015670054196732595,-0.001352482658756788,0.07540086636831812
30,0.14098524987185906,0.13459627922165682,0.3029033205871867
31,0.1483431202361048,0.11282798426526261,0.677107380639046
32,0.08290650309514551,0.1018866355340647,0.14073555560316908
33,0.12903111840669812,0.12874101572423724,0.3459695546961392
34,-0.03333169504237394,-0.03396637419410605,0.14330181130541642
35,0.13618706600074817,0.12471765403108104,0.5127755454485599
36,0.03822793543893143,0.030008895005760258,0.2210551965677097
37,0.14645971657485038,0.16432319261595033,0.190032559365093
38,0.13629631371679354,0.152745651299278,0.32200324182384815
39,-0.060868550479895915,-0.021281051552961634,0.1984694635983706
40,-0.018401657798198776,0.03832194774078789,0.14925015082458198
41,0.07270161500145143,0.10212405476919585,1.0772605114352707
42,0.09123482718281238,0.11162586037569674,0.17905474708955765
43,0.15912771780262902,0.1596417941158186,0.30573186325919527
44,0.08591945036929458,0.09401853353024027,0.3953244448009137
45,0.16382011967939375,0.17152741651933018,0.3823182044469383
46,0.5638943613067045,0.4094935790177548,0.3857253446863935
47,0.1990205468975722,0.15696173701407273,0.3297112282442165
48,0.06831716320580736,0.058569881526409226,0.2415991070730629
49,0.21710996172560926,0.22803152645726035,0.7409523693951185
50,-0.0018361413779514467,0.00701065876644604,0.12122828877339979
51,0.07119632635175312,0.07247948083831464,0.4211301312931943
52,0.14353966879091365,0.15156986959935906,0.38774440672592536
53,0.1712715854323245,0.180243950800057,0.4795150488662335
54,0.18051124094611798,0.1935344395198222,0.42061920079686227
55,0.09755781424973203,0.10646885725778905,0.20475511537934674
56,0.14515415369126292,0.1490151742023307,0.2472326059886984
57,0.006106600153807757,0.018644518819666948,0.24783162859120766
58,0.1929273856708062,0.18673967175065198,0.35858491181700275
59,0.17938754228052461,0.2104346248149391,0.3907034503917897
