epoch,train_mse,train_rmse,val_mse,val_rmse,optimized_loss
0,0.8811906576156616,0.9387175600869846,0.9081874489784241,0.9529886929961048,249.376953125
1,0.852662980556488,0.9233975203326507,0.8685627579689026,0.9319671442539713,240.80735778808594
2,0.8240349292755127,0.9077636968261689,0.8450706005096436,0.9192772163551338,232.21017456054688
3,0.7987146377563477,0.8937083628098976,0.8139728307723999,0.9022044284819266,224.5471649169922
4,0.7725474834442139,0.8789468035348976,0.7928573489189148,0.89042537526674,216.63890075683594
5,0.7498833537101746,0.8659580553988597,0.7738237977027893,0.8796725514092101,209.72579956054688
6,0.7254927754402161,0.851758636845096,0.7447081804275513,0.8629647619848398,202.3216552734375
7,0.7063090801239014,0.840421965517264,0.723537266254425,0.850609937782545,196.38311767578125
8,0.6847881078720093,0.8275192492456047,0.7055442333221436,0.8399668048929931,189.79473876953125
9,0.6647509336471558,0.8153225948341895,0.6855338215827942,0.8279696984689683,183.60739135742188
10,0.6465737223625183,0.8040980800639423,0.6602083444595337,0.8125320574965235,177.9558563232422
11,0.6285129189491272,0.7927880668559077,0.6410375833511353,0.8006482269705811,172.33078002929688
12,0.6112349033355713,0.7818151337340378,0.6256543397903442,0.7909831476019854,166.93316650390625
13,0.5946924686431885,0.7711630622917494,0.610154390335083,0.7811237996214704,161.7470703125
14,0.5801517963409424,0.7616769632468494,0.5911112427711487,0.76883759193418,157.11659240722656
15,0.5652353763580322,0.7518213726398261,0.574260413646698,0.7577997186900362,152.3867950439453
16,0.550993800163269,0.7422895662497683,0.5620132088661194,0.7496754023349835,147.8524932861328
17,0.5371137261390686,0.7328804309974913,0.5496222972869873,0.7413651578587891,143.4169464111328
18,0.5237252116203308,0.7236886150965282,0.5356731414794922,0.7318969473084939,139.12445068359375
19,0.5122869610786438,0.7157422448609861,0.5230568647384644,0.7232267035573731,135.37449645996094
20,0.5003209114074707,0.7073336634202212,0.5140789151191711,0.7169929672731603,131.48440551757812
21,0.4888990521430969,0.6992131664543345,0.495822936296463,0.7041469564632535,127.7479248046875
22,0.4788885712623596,0.692017753574545,0.4932364523410797,0.7023079469442729,124.42069244384766
23,0.46775543689727783,0.6839264850093743,0.4791344702243805,0.6921953988754769,120.77330780029297
24,0.4575934112071991,0.6764565109504077,0.46297791600227356,0.6804248055459718,117.39102172851562
25,0.4476977586746216,0.6691022034596968,0.4571850001811981,0.6761545682617238,114.09982299804688
26,0.43791404366493225,0.6617507413406745,0.4471323490142822,0.6686795563005364,110.85108947753906
27,0.4294942021369934,0.6553580716959191,0.44420143961906433,0.6664843881285325,107.96563720703125
28,0.42128080129623413,0.6490614772856529,0.4276183545589447,0.653925343260945,105.14292907714844
29,0.41121432185173035,0.6412599487350901,0.42434194684028625,0.6514153412687532,101.81826782226562
30,0.4044519364833832,0.6359653579271305,0.41244229674339294,0.6422167054378085,99.40240478515625
31,0.3974655270576477,0.6304486712315664,0.41018855571746826,0.640459644097478,96.95512390136719
32,0.3899631202220917,0.6244702716880057,0.39899903535842896,0.631663704322505,94.35252380371094
33,0.3825550675392151,0.6185103617072354,0.39006248116493225,0.6245498228043398,91.76815032958984
34,0.3757860064506531,0.6130138713362472,0.3810362219810486,0.6172813151076652,89.36590576171875
35,0.3692891597747803,0.6076916650529117,0.37599989771842957,0.6131883052688053,87.05784606933594
36,0.36268293857574463,0.6022316319953184,0.37050995230674744,0.6086952869102467,84.71754455566406
37,0.35656026005744934,0.5971266700269293,0.36150968074798584,0.601256751103874,82.5115737915039
38,0.3504336178302765,0.5919743388275175,0.35652971267700195,0.5971010908355485,80.29339599609375
39,0.3452633321285248,0.5875911266591122,0.34969985485076904,0.5913542549527897,78.36778259277344
40,0.3390521705150604,0.5822818651779054,0.34718525409698486,0.5892242816593567,76.14533996582031
41,0.33416181802749634,0.578067312713231,0.34166041016578674,0.5845172453963927,74.2789306640625
42,0.3288942575454712,0.5734930318194557,0.33011195063591003,0.5745536969125775,72.31830596923828
43,0.32411298155784607,0.5693092143623235,0.33094701170921326,0.5752799420362344,70.49563598632812
44,0.31914734840393066,0.5649312775939483,0.32386690378189087,0.5690930537108064,68.62548828125
45,0.31459569931030273,0.5608883126882773,0.3218481242656708,0.567316599674001,66.87584686279297
46,0.31019651889801025,0.5569528875030726,0.3140483498573303,0.5604001693944518,65.1572494506836
47,0.30527299642562866,0.5525151549284677,0.31441324949264526,0.5607256454743668,63.28497314453125
48,0.30188676714897156,0.5494422327678967,0.3068849742412567,0.5539719977049894,61.887943267822266
49,0.29821446537971497,0.5460901623172816,0.304165780544281,0.5515122669028142,60.37311935424805
50,0.2942122519016266,0.5424133588893498,0.3003704249858856,0.5480606033878787,58.785545349121094
51,0.29078996181488037,0.5392494430362264,0.2940504550933838,0.542264193076939,57.35198211669922
52,0.28645119071006775,0.5352113514398473,0.29016759991645813,0.5386720708524418,55.661434173583984
53,0.28388163447380066,0.5328054377291964,0.28771236538887024,0.5363882599282633,54.476959228515625
54,0.28102532029151917,0.5301182135066849,0.2853545546531677,0.5341858802450395,53.211082458496094
55,0.2765316665172577,0.5258627829740927,0.28040793538093567,0.5295355846219739,51.4631233215332
56,0.2739352583885193,0.5233882482331059,0.27721816301345825,0.5265151118566856,50.271976470947266
57,0.27049916982650757,0.520095346861042,0.27354833483695984,0.5230184842211218,48.8452033996582
58,0.2680346965789795,0.5177206742819718,0.2703813910484314,0.519982106469474,47.689117431640625
59,0.26489177346229553,0.51467637740846,0.27051210403442383,0.5201077811708106,46.36128234863281
60,0.26196640729904175,0.5118265402448781,0.26134374737739563,0.5112179059631965,45.056396484375
61,0.25946739315986633,0.5093794196469527,0.2598589062690735,0.5097635787981263,43.90630340576172
62,0.2570575773715973,0.5070084588757837,0.2569390833377838,0.5068915893342321,42.77029037475586
63,0.25330549478530884,0.5032946401317113,0.25718989968299866,0.5071389352859812,41.23980712890625
64,0.2515549957752228,0.5015525852542511,0.2559029757976532,0.5058685360819085,40.27709197998047
65,0.24918228387832642,0.49918161412288253,0.24899357557296753,0.49899256063890124,39.16932678222656
66,0.24637757241725922,0.49636435449905064,0.2517532706260681,0.5017502074001247,37.908721923828125
67,0.24396415054798126,0.4939272725290448,0.24756522476673126,0.497559267592044,36.77281951904297
68,0.2415991723537445,0.49152738718584593,0.24653133749961853,0.4965192216819189,35.6729736328125
69,0.24016740918159485,0.49006878005193805,0.24321869015693665,0.4931720695223287,34.77179718017578
70,0.2376277595758438,0.48747077817633727,0.23537993431091309,0.4851596998009141,33.588844299316406
71,0.23626741766929626,0.48607346941516594,0.23873406648635864,0.48860420228069945,32.78437042236328
72,0.23336681723594666,0.4830805494282984,0.2340087741613388,0.4837445339860067,31.473783493041992
73,0.23164421319961548,0.4812943103752791,0.23130859434604645,0.4809455211830613,30.553661346435547
74,0.2302074134349823,0.4797993470556023,0.23117351531982422,0.4808050699814055,29.696210861206055
75,0.2272278517484665,0.47668422645234076,0.23057888448238373,0.48018630184792205,28.371601104736328
76,0.2263309210538864,0.4757424944798251,0.23138780891895294,0.4810278670918692,27.683300018310547
77,0.2243652641773224,0.4736721061845656,0.2282833456993103,0.4777900644627411,26.661853790283203
78,0.2228148877620697,0.47203271895290233,0.22110217809677124,0.47021503389063524,25.78462028503418
79,0.22045695781707764,0.46952844196819177,0.22102904319763184,0.47013725995461353,24.63788604736328
80,0.21889628469944,0.4678635321324371,0.21960456669330597,0.46861985307208864,23.769258499145508
81,0.21727938950061798,0.4661323733668559,0.21904544532299042,0.46802291110905075,22.844953536987305
82,0.21584169566631317,0.4645876619824435,0.2167646735906601,0.46557993254720514,21.97809410095215
83,0.21442316472530365,0.46305848952945855,0.21650664508342743,0.46530274562206,21.162567138671875
84,0.2127254456281662,0.46122168815892234,0.21352006494998932,0.4620823140415453,20.224245071411133
85,0.21063604950904846,0.45895103171149804,0.21194367110729218,0.46037340399646476,19.13616371154785
86,0.2096741795539856,0.45790193224530684,0.20245830714702606,0.44995367222307014,18.404579162597656
87,0.20852282643318176,0.4566429966978381,0.21135535836219788,0.4597340082723899,17.639307022094727
88,0.20554551482200623,0.4533712770147732,0.2031591385602951,0.4507317811740094,16.326339721679688
89,0.20585668087005615,0.45371431636003745,0.20505273342132568,0.4528274874842799,15.979354858398438
90,0.20447435975074768,0.4521884117829068,0.20731747150421143,0.45532128382518144,15.131893157958984
91,0.20212893187999725,0.44958751303833744,0.19943609833717346,0.44658268924934097,14.012271881103516
92,0.20060521364212036,0.4478897337985326,0.19698768854141235,0.4438329511667789,13.104272842407227
93,0.20004582405090332,0.4472648254120855,0.19801275432109833,0.4449862405975024,12.502501487731934
94,0.19933490455150604,0.4464693769470713,0.1976630836725235,0.4445931664707899,11.837453842163086
95,0.19754111766815186,0.4444559794492047,0.1994481384754181,0.44659616934700425,10.900447845458984
96,0.1970759928226471,0.4439324192066255,0.19714227318763733,0.4440070643442932,10.262860298156738
97,0.19586721062660217,0.442568876703505,0.19599823653697968,0.4427168807906241,9.536942481994629
98,0.19443930685520172,0.4409527263269859,0.19079309701919556,0.4367986916408926,8.666146278381348
99,0.19369149208068848,0.440103955993,0.1882583051919937,0.43388743377976935,7.990086078643799
100,0.1922537237405777,0.43846747170181016,0.1912243515253067,0.4372920666160166,7.162353992462158
101,0.191183403134346,0.4372452436955101,0.18886734545230865,0.43458870838104924,6.3297953605651855
102,0.19029469788074493,0.4362278050293733,0.18761780858039856,0.43314871416223616,5.6571550369262695
103,0.1891891211271286,0.43495875796117567,0.1882617175579071,0.4338913660790073,4.866701602935791
104,0.18811717629432678,0.4337247702107026,0.18483629822731018,0.4299259217903826,4.1016130447387695
105,0.1865694373846054,0.43193684420827705,0.1862591654062271,0.43157753116471104,3.236029863357544
106,0.18449412286281586,0.4295277905593721,0.17979130148887634,0.42401804382464237,2.167609214782715
107,0.18546417355537415,0.43065551610930763,0.18605192005634308,0.4313373622309376,1.9867222309112549
108,0.1836821436882019,0.42858154846913543,0.17997555434703827,0.4242352582554145,1.0439906120300293
109,0.1831270456314087,0.42793345935017596,0.17747043073177338,0.42127239493203605,0.43285226821899414
110,0.18238204717636108,0.4270621116141785,0.17963795363903046,0.42383717821709604,-0.23222780227661133
111,0.18080085515975952,0.4252068380914864,0.17973418533802032,0.4239506873894891,-1.164351463317871
112,0.180154487490654,0.42444609491742763,0.18088729679584503,0.4253084725182947,-1.7928571701049805
113,0.17951439321041107,0.42369138911525106,0.17623552680015564,0.4198041529096105,-2.4343767166137695
114,0.17918263375759125,0.423299697327545,0.17923597991466522,0.4233627049170312,-2.9822049140930176
115,0.17797204852104187,0.4218673352145694,0.17688307166099548,0.42057469213089305,-3.8107805252075195
116,0.17717106640338898,0.4209169352774832,0.17561419308185577,0.41906347142390704,-4.473085880279541
117,0.1762198507785797,0.4197854818577933,0.17305974662303925,0.4160045031283186,-5.178821563720703
