Protein,Pearson,Spearman,RMSE
0,0.028075932180710052,0.050283991133153016,0.13876882433364868
1,0.11985468605247729,0.11281942748619907,0.23247891138487004
2,0.29555628412795887,0.2840832515733925,0.32012539488488645
3,0.19494886276211068,0.1928967656231565,0.23679632935735015
4,0.12229058336147954,0.12272115294997069,0.5491693029904391
5,0.141232733605427,0.1574517663716366,0.18905222437973415
6,0.2866455343576903,0.27850554162273294,0.4058158556858015
7,0.2252053063824282,0.24665544114207782,0.7402869319806993
8,0.2202214181039396,0.23467028876501825,0.38517730013374235
9,0.27939532446302917,0.3008442504001921,0.4416211212251422
10,0.26626151394129377,0.253565287687623,0.3914424309254931
11,0.08433450644121292,0.09592198980437198,0.1903111388477219
12,0.1313974290907563,0.1310916780967081,0.3142317022412205
13,0.25228433797504574,0.23620303824094505,0.44011145660614415
14,0.04638810406477702,0.03828396138435114,0.1845683535220522
15,0.24045192034209356,0.22878273130224133,0.3501895109972144
16,0.19668452990217483,0.2045861150923818,0.5674317484628528
17,0.3097885932809709,0.3044925737322857,0.30906008989288813
18,0.3139645008962742,0.28929016378160954,0.34808756883951064
19,0.3007960278589465,0.30759251335861215,0.48667613232806256
20,0.11136211247540867,0.11763635166154841,0.2109048126891845
21,0.19444719394093526,0.19380690761320338,0.3173842290910429
22,0.19107702244539776,0.18361946088028985,0.46298726681012486
23,0.43796138769896514,0.453740804812673,0.45313076541600744
24,0.28934583474352205,0.3045550580146496,0.4299309829529011
25,0.218754534935291,0.2056819298187373,0.4263230644500971
26,0.16522114680157973,0.1590237713712202,0.1814384240193239
27,0.12040546564378835,0.13857492670704008,0.33771684934669455
28,0.17563038755037566,0.20000942066794258,0.2829554551284827
29,-0.018703981200693786,-0.029750362898848717,0.045200160465847426
30,0.1464650537094437,0.16190997650223424,0.3014417302609248
31,0.15407851205074177,0.1330129267834946,0.5324073120463414
32,0.100143247742934,0.1347923249350457,0.13074870068983893
33,0.19101165917355042,0.16863753704595844,0.32119282673294197
34,-0.010874743831513479,0.014336324423564226,0.13185787188237005
35,0.23223311054036253,0.23152798209755662,0.48181112501010465
36,0.05180291268096611,0.07282251297342825,0.21026992750123968
37,0.1104220399707307,0.13197183076967692,0.18341022382829472
38,0.18692214672547147,0.1879517574258968,0.3090978615206892
39,0.013891848180384534,0.0367397843060027,0.17436343947645555
40,0.292475413099419,0.29041097504047003,0.13792756817591414
41,0.2475456157701543,0.2560817176384431,0.5500619673352721
42,-0.012899527349395028,0.019273541952208928,0.17253274495921833
43,0.14780097507849846,0.15346478199237865,0.29811524899809067
44,0.22073847393119472,0.22468782476856256,0.3768761036970003
45,0.2842309061143003,0.2790840512669879,0.3572672023495653
46,0.5794771030504233,0.43960125259281,0.375381024765459
47,0.16283456291478174,0.14102541814043076,0.3315825220779418
48,0.11503240885549568,0.13988483632927956,0.23434979941318856
49,0.1370614669233984,0.1640367690005528,0.6732202606044526
50,0.09212164384176752,0.03948782288037625,0.07939025292804994
51,0.1956375149368827,0.20686038501330817,0.39678723567315977
52,0.29483207477526835,0.2941925488632856,0.35946245302701946
53,0.1847550331593507,0.20111588899025706,0.4199765612773041
54,0.3156144862248929,0.29683071312178533,0.38888619475433356
55,0.15002880014353062,0.17242645123974631,0.19899003858970202
56,0.18672188602127437,0.1882426161915004,0.23210201981272152
57,0.06852668060582981,0.08074000994651928,0.2375232007872978
58,0.3184382910946313,0.32300669369108753,0.3361759559504197
59,0.32258579131068843,0.2990144533715135,0.3690428399967271
60,0.3492679356823383,0.3512073434287756,0.42048341543143947
61,0.15679887478816928,0.1808339593770409,0.2603807803842101
62,0.21459686146368276,0.20789279888377327,0.4223890117697859
63,0.12620224558028798,0.14785349998173294,0.17693605074662416
64,0.39918151728541806,0.3344188523675368,0.3157083007350803
