Protein,Pearson,Spearman,RMSE
0,-0.057757819764108494,-0.07095388778253624,0.1516001915992497
1,0.08037616723385393,0.07544264196664655,0.23622426497930238
2,-0.023489349914134344,-0.026862911895986667,0.34145291407189726
3,0.04365567910335204,0.046824058255087286,0.23865104758597266
4,0.03293565157559822,0.05648328695410728,0.5905688351184246
5,0.031059489213235043,0.03654137665577211,0.18463219885364537
6,-0.002238690088079259,0.0306611632381018,0.42709630993263825
7,0.06933689987661891,0.07681114446414364,0.7780521351648938
8,0.014822594642959517,0.002177360456379585,0.3551808729275555
9,0.09090510903720386,0.08362616757642913,0.46971209887341875
10,-0.07095997735582796,-0.06335168485135267,0.43308478494069597
11,0.019128239200927585,0.01796942743579265,0.1897973243837078
12,0.008220739855435363,0.012200557751539933,0.3089914671779941
13,0.0074194870326170295,-0.015236732465075028,0.4927789330548597
14,-0.03409436345804133,-0.010371946133130716,0.18309294580127813
15,0.001857338277002288,-0.007962501752048115,0.3820985844284588
16,0.090554805881971,0.06917850438092751,0.495901741604209
17,-0.05061780341270816,-0.03893164943851048,0.3369173981920773
18,-0.05337553272974662,-0.052120884313127405,0.40813641538106626
19,-0.04457950330897766,-0.06636630535544308,0.5773268166117309
20,0.009211909666921671,-0.007183040147294044,0.21062001894366478
21,0.008054571926972384,0.008032925588348758,0.3378106243270888
22,-0.073972366580165,-0.08744121822918187,0.51263679814901
23,-0.10817834606126933,-0.08785025325181205,0.5308196728172706
24,0.004196996167574846,0.00169721305646055,0.48875379813258546
25,0.0012163861768178105,-0.017693051486355558,0.4590969218009418
26,0.0867996907166624,0.08493041941054903,0.1591666367046098
27,-0.01009073493994507,0.004469301779051873,0.373145538388151
28,0.035948203780751066,0.038957815529480175,0.30611550624129164
29,-0.04604916810519547,-0.04005883470930586,0.04103077952459085
30,0.16534257545714123,0.12870019352231965,0.2795716449230581
31,0.05184317993731963,0.11234084993510232,0.6119538521616994
32,0.06977245467156837,0.02821603731407959,0.13117836819433532
33,0.03439930095912689,0.02309533757265773,0.33530386296529785
34,0.011714897290416429,0.0037385057981640306,0.12698026315520142
35,0.03114364612334305,0.02710110517862598,0.5274093005821252
36,-0.03490749581202902,-0.019925329895972708,0.2022376380492747
37,-0.06030651976433373,-0.06806411617530804,0.1845163706048786
38,-0.01921500192206617,-0.020084018253296053,0.32888132214362936
39,0.02458629048907071,0.018018186608222197,0.16467416721181563
40,-0.003459939816286346,0.011009246945565107,0.07726325313188218
41,0.09968039260036794,0.15131981089592458,0.6347031046119347
42,0.0390734923805117,0.038706598737091855,0.19585973854746122
43,0.03397460861717722,0.03829795964273993,0.3028606414641022
44,0.017436588316311216,0.023037383055192567,0.39354317013124945
45,0.009163752167621126,0.002126228235214848,0.40252885477714384
46,0.0684837760492578,0.05831777917103709,0.3589192609988514
47,-0.0073259136154442284,-0.0023528224097706754,0.3559588732561864
48,0.07630959981448111,0.06057127580162993,0.2504239010583297
49,0.09748898782209624,0.08966406606147241,0.6257752428310338
50,-0.015136084125839678,-0.004862669764259027,0.07783298436200423
51,-0.0034268693745671238,-0.018623388030016147,0.44495643491440623
52,0.021417515948908474,-0.015724676476652263,0.41835303691281894
53,0.0891825910372109,0.08611449125606996,0.45372166302053096
54,0.0003650861841518775,0.013386146343971502,0.4215725457370288
55,-0.011161759025468728,-0.027979106375186455,0.22211594615381666
56,0.001542467498508131,0.0021032790124055354,0.2303695689370861
57,0.047673622559411544,0.04607210463128274,0.2529852997709842
58,0.06006911433146692,0.09440609865461069,0.3235080635269844
59,0.06206130804476823,0.04787385113447995,0.38786932378494526
60,-0.027958383416716148,-0.035293723343339065,0.5054739940129397
61,0.047010705267158934,0.03730037270405194,0.2526114762003089
62,0.009039813093333784,-0.014561958920059808,0.42909405051987953
63,-0.031451619886551915,-0.03817456109176406,0.1756109178605888
64,0.0714602274004199,0.06075864191974046,0.31486764155922264
65,-0.027695522594810205,-0.039142470234806236,0.5069464017921624
66,0.014802935127883715,0.01636069753518943,0.3602907261134446
67,-0.028768101883725892,-0.007723927557809858,0.11682199120292878
68,0.07368082852012972,0.061802950952496105,0.2903961731944876
69,0.02787564917711207,0.03165230420967944,0.21970023096948818
70,0.014393285089434077,5.151076373543537e-05,0.3043241312893619
71,0.09098280021065819,0.087291210666872,0.12116175495432721
72,-0.021700973200075135,-0.0432061047134165,0.5603116219240241
73,0.012537530084447532,0.04584667750520565,0.112662913413937
74,-0.026537632758922496,-0.035434018129640754,0.08462246856296704
75,-0.024712886171053407,-0.033912824536697396,0.3867593441412959
76,0.04464819510694507,0.017736290833240312,0.370330005840892
77,0.06382689866242008,0.07688143662041945,0.2576134115219772
78,-0.04775796930423612,-0.046191018096699524,0.5384775148450467
79,-0.00012779806991209796,-0.006112647538311551,0.34208177901420256
80,-0.07212089613095185,-0.058634330490861294,0.1462325541037786
81,-0.031340142211633865,-0.036771914783357146,0.230393107495659
82,0.11397978415736885,0.08463866138508527,0.2788205312232089
83,-0.04427883684539879,-0.04789797462940773,0.1125133073414666
84,0.09606638169938761,0.09982590679001423,0.2901528289882497
85,0.07024825859320175,0.09771873742836981,0.0658529473305011
86,-0.09915419415560178,-0.07724348138278771,0.3478890565142494
87,0.05160302395026474,0.03011691433920142,0.5701264151166893
88,0.11957137681918219,0.07635362877476115,0.10891336698056095
89,0.005435808691380641,0.002966922824752842,0.44280463429704375
90,0.0010930627915393372,-0.01669556707042158,0.4635098870034038
