epoch,train_mse,train_rmse,val_mse,val_rmse
0,0.8738788962364197,0.9348148994514474,0.9028902053833008,0.9502053490605601
1,0.8390729427337646,0.9160092481704345,0.8545889258384705,0.924439790272179
2,0.8088773488998413,0.8993760886858407,0.82942134141922,0.9107257223880415
3,0.7753396034240723,0.88053370374113,0.7939324975013733,0.8910288982414506
4,0.7499971389770508,0.8660237519704934,0.757027804851532,0.8700734479637521
5,0.7232739329338074,0.8504551328164275,0.7347968220710754,0.8572029060094671
6,0.7002975940704346,0.8368378541094055,0.7206061482429504,0.8488852385587526
7,0.6779042482376099,0.8233494083544421,0.6887924671173096,0.8299352186269177
8,0.6593769788742065,0.8120203069346275,0.6732003688812256,0.8204878846644998
9,0.6405923366546631,0.8003701247889398,0.6564981341362,0.8102457245405248
10,0.6240742802619934,0.7899837215170914,0.6392621397972107,0.7995387043772244
11,0.6088757514953613,0.780304909311329,0.6209548711776733,0.7880068979251853
12,0.5929738283157349,0.7700479389724609,0.6024102568626404,0.7761509240235692
13,0.5797145962715149,0.7613899108022872,0.5927650928497314,0.7699123929706103
14,0.5660387873649597,0.7523554926794644,0.5757039785385132,0.758751592115966
15,0.5554887652397156,0.7453111868472897,0.5635935664176941,0.7507286902854413
16,0.5424696803092957,0.7365254104980328,0.5553920865058899,0.7452463260599745
17,0.5323945879936218,0.7296537452748542,0.5415737628936768,0.7359169538023137
18,0.5216049551963806,0.7222222339393746,0.5317915678024292,0.7292404046694267
19,0.5111744403839111,0.7149646427508923,0.5213636159896851,0.722055133621862
20,0.5008810758590698,0.7077295216811785,0.5054706335067749,0.7109645796428785
21,0.49155038595199585,0.7011065439375073,0.49915099143981934,0.7065061864129849
22,0.4816504716873169,0.6940104262093739,0.4883696734905243,0.6988345108038986
23,0.4717068672180176,0.6868091927296966,0.47919607162475586,0.6922398945631174
24,0.46386104822158813,0.6810734528827181,0.4677710235118866,0.683937879863286
25,0.45512256026268005,0.6746277197556294,0.4629747271537781,0.6804224622642745
26,0.44795486330986023,0.6692943024633187,0.45052462816238403,0.6712113140899697
27,0.4392445981502533,0.6627553079004749,0.438612163066864,0.6622780104056483
28,0.4317978024482727,0.6571132341143897,0.432787150144577,0.6578656018858084
29,0.42511656880378723,0.652009638581967,0.42905986309051514,0.6550266125055646
30,0.41553425788879395,0.6446194675068337,0.4209226667881012,0.6487855321969667
31,0.4087044596672058,0.6392999762765565,0.41298869252204895,0.6426419629327429
32,0.4024609327316284,0.6343980869545781,0.40381795167922974,0.6354667195685623
33,0.3959190845489502,0.6292210140713279,0.3943193256855011,0.6279485056001815
34,0.38976165652275085,0.6243089431705675,0.39367690682411194,0.6274367751607424
35,0.381516695022583,0.617670377323199,0.3789614140987396,0.6155984195063692
36,0.37711018323898315,0.6140929760541014,0.3740634322166443,0.6116072532407086
37,0.36911270022392273,0.6075464593131317,0.36914345622062683,0.6075717704276811
38,0.36423632502555847,0.6035199458390406,0.3619473874568939,0.6016206341681558
39,0.35957497358322144,0.5996457067162421,0.361030638217926,0.6008582513521188
40,0.3528611361980438,0.5940211580390414,0.3510533273220062,0.5924975335999351
41,0.34806114435195923,0.5899670705657726,0.34818899631500244,0.5900754157859844
42,0.341972678899765,0.5847843011741722,0.3433111906051636,0.5859276325666537
43,0.336451917886734,0.5800447550721702,0.33989933133125305,0.5830088604225951
44,0.33257609605789185,0.5766941096091514,0.3337443470954895,0.5777061078917978
45,0.3267322778701782,0.5716050016140326,0.32730862498283386,0.5721089275503695
46,0.3220510184764862,0.5674953907094631,0.32003480195999146,0.5657161849903107
47,0.31792983412742615,0.5638526705864096,0.31545281410217285,0.5616518620125575
48,0.3121604025363922,0.5587131666037523,0.30467718839645386,0.5519757135929568
49,0.30884164571762085,0.5557352298690635,0.31119751930236816,0.5578508038018483
