Protein,Pearson,Spearman,RMSE
0,-0.008018062191441806,2.8958476210931352e-06,0.1389041478070397
1,0.15749927074104308,0.1853064041222655,0.23332064463558166
2,0.2808070327554358,0.2565627739367564,0.3221902273126362
3,0.27890514937130395,0.2693189279641608,0.23251396407353472
4,0.22461358001271922,0.2273473676476323,0.5368789904828132
5,0.1824184536074213,0.21165437432152437,0.18836238779570033
6,0.34609967330787406,0.36241857673764305,0.41293230112461243
7,0.38254194704680505,0.38534504179841345,0.7069869335550492
8,0.26655840193002595,0.2597263171090993,0.38548635575968815
9,0.373931655685407,0.4118630753621832,0.4391619185069225
10,0.33511624266352263,0.31685611425699434,0.3935233176622385
11,0.0873032563629635,0.1024803981597784,0.19106378494082252
12,0.21100202932560871,0.23147448198642406,0.31842418266010153
13,0.34838265989233586,0.32770794436571243,0.4372377599977989
14,0.08294640811462181,0.09008037122397991,0.18283556688679017
15,0.2852024024167724,0.29015596109786634,0.35512382234899903
16,0.24648246341400687,0.23450689727296725,0.5614179458062171
17,0.3450133947847895,0.32915949147977186,0.3126097826875883
18,0.3264593921246095,0.3111606235082549,0.3498995232533897
19,0.40116669673335525,0.40181936357425674,0.4905245340421945
20,0.15870723700552503,0.16548616764497356,0.21146443655482355
21,0.23961942065530167,0.24764472032471355,0.3205263494574355
22,0.3060849248252233,0.297951974124282,0.46044933559601714
23,0.48978044721583014,0.4858919337762366,0.45993675892712654
24,0.38790828183544257,0.3770058467845061,0.43420993063467583
25,0.2749155977127294,0.25759040265313,0.42755800200244715
26,0.15864766529542665,0.14418248538621667,0.18321057561779816
27,0.28333991567103667,0.28745463437250707,0.32750840748339516
28,0.18546194547930028,0.2212365749196477,0.28771933366028773
29,0.00265425689447712,-0.00360749484294124,0.047047058735820727
30,0.2528165076830568,0.23441235318750658,0.2916230470285024
31,0.22907492114470257,0.21979363993341444,0.5302337484949767
32,0.14367916076639772,0.1700679917165021,0.1301967214691477
33,0.2760165720399125,0.2628273187741677,0.31915986182765127
34,-0.008950932076853099,0.03581689528171878,0.13247958526666068
35,0.3049622587525092,0.29941934281718596,0.4847984472430328
36,0.09101344488048305,0.10699834020894444,0.2108308307699711
37,0.10865254920176956,0.1204056102033271,0.1845117115844626
38,0.23443720102474114,0.24669203121924563,0.3080741860280962
39,0.044978770205976334,0.04239520481614322,0.17703473612451895
